,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_2_AutoML_20190417_182705,29664.09803465186,172.23268573256314,29664.09803465186,136.53025903109298,0.004780520764551986
1,GBM_1_AutoML_20190417_182705,34823.9816999937,186.611847694603,34823.9816999937,148.09280003783292,0.005144734451844225
2,GLM_grid_1_AutoML_20190417_181353_model_1,146390777.36946267,12099.205650350052,146390777.36946267,9888.143986261835,0.3200379219026709
3,GLM_grid_1_AutoML_20190417_182705_model_1,146390777.36946267,12099.205650350052,146390777.36946267,9888.143986261835,0.3200379219026709
4,StackedEnsemble_BestOfFamily_AutoML_20190417_181353,146391263.72403124,12099.225748949033,146391263.72403124,9888.129941218464,0.3200383587486603
5,StackedEnsemble_AllModels_AutoML_20190417_181353,146391287.65560755,12099.226737920384,146391287.65560755,9888.129709285122,0.3200383775105311
