,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_1_AutoML_20190426_223151,34236.21840942511,185.0303175412751,34236.21840942511,146.90654946328218,0.005146979722725053
1,StackedEnsemble_AllModels_AutoML_20190426_223151,128820076.56435508,11349.893240218391,128820076.56435508,9275.75807855077,0.302735234628149
2,StackedEnsemble_BestOfFamily_AutoML_20190426_223151,128820076.56435508,11349.893240218391,128820076.56435508,9275.75807855077,0.302735234628149
3,GLM_grid_1_AutoML_20190426_223151_model_1,146390777.36946267,12099.205650350052,146390777.36946267,9888.143986261835,0.3200379219026709
