,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_1_AutoML_20190417_203913,35316.32717026253,187.9263876369216,35316.32717026253,148.93624190299718,0.005266529779359414
1,StackedEnsemble_AllModels_AutoML_20190417_203913,128820148.11917688,11349.896392442395,128820148.11917688,9275.799996263508,0.3027351020769629
2,StackedEnsemble_BestOfFamily_AutoML_20190417_203913,128820148.11917688,11349.896392442395,128820148.11917688,9275.799996263508,0.3027351020769629
3,GLM_grid_1_AutoML_20190417_203913_model_1,146390777.36946267,12099.205650350052,146390777.36946267,9888.143986261835,0.3200379219026709
