,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_3_AutoML_20190422_192649,28592.92867925309,169.09443716235344,28592.92867925309,133.81892734465538,0.004728648054993004
1,GBM_2_AutoML_20190422_192649,30934.490443765226,175.88203559137364,30934.490443765226,139.53496644467296,0.004924453214340189
2,GBM_1_AutoML_20190422_192649,34637.033925320975,186.110273561996,34637.033925320975,147.5111110554122,0.005156179849922162
3,StackedEnsemble_AllModels_AutoML_20190422_192649,101994871.86534747,10099.25105467467,101994871.86534747,8253.749043683969,0.27364181752033984
4,StackedEnsemble_BestOfFamily_AutoML_20190422_192649,128819705.77999568,11349.876905940244,128819705.77999568,9275.738107976607,0.30273474200780426
5,GLM_grid_1_AutoML_20190422_192649_model_1,146390777.36946267,12099.205650350052,146390777.36946267,9888.143986261835,0.3200379219026709
